ID,Passenger_ID,Route ID,Class
179,521,635,Economy
180,458,1960,Economy
181,1465,1110,Economy
182,1508,1396,Business
183,1456,1708,Business
184,375,776,Economy
185,596,613,Economy
186,812,1634,Economy
187,204,111,Business
188,1264,1124,Economy
189,317,465,Economy
190,324,147,Economy
191,1711,1834,Economy
192,771,1675,Economy
193,659,1434,Economy
194,1154,1606,Economy
195,1197,1120,Economy
196,476,1171,Economy
197,156,1880,First
198,1751,556,Economy
199,801,1046,Economy
200,1367,616,Business
201,1810,1391,Economy
202,107,1050,Economy
203,940,1187,Economy
204,1759,931,Economy
205,1606,1544,Economy
206,739,707,Economy
207,1206,1634,Business
208,1300,859,Economy
209,786,404,Economy
210,1570,1187,Economy
211,1905,853,Business
212,1697,1238,Economy
213,321,1284,Economy
214,957,1350,Economy
215,990,1695,Business
216,869,377,Economy
217,635,1871,Economy
218,1155,717,Economy
219,1091,771,Business
220,1975,1365,Economy
221,404,1355,Economy
222,877,477,Economy
223,496,211,Economy
224,1257,1515,Business
225,7,564,Economy
226,1522,1925,Economy
227,758,1967,Economy
228,1083,217,Economy
229,368,1308,Economy
230,931,1966,Economy
231,1248,1497,Economy
232,183,1241,Economy
233,1063,990,Economy
234,982,151,Economy
235,398,1747,First
236,1945,1668,Economy
237,1429,853,Economy
238,1618,330,Economy
239,1149,532,Business
240,665,316,Economy
241,204,524,Economy
242,499,910,Economy
243,1572,528,Economy
244,1857,834,Economy
245,799,1405,Economy
246,493,1873,Economy
247,1684,1799,Economy
248,594,558,Economy
249,298,391,Economy
250,616,241,Economy
251,273,1915,Economy
252,668,1832,Economy
253,1593,274,Business
254,1760,204,Economy
255,1716,1674,Economy
256,1642,256,Economy
257,789,765,Economy
258,417,411,Business
259,1229,1933,Economy
260,1793,1370,Business
261,46,705,Economy
262,1612,1089,Economy
263,1145,1295,Economy
264,1530,27,Economy
265,1164,1745,Economy
266,1641,797,Economy
267,1245,1212,Economy
268,41,79,Economy
269,59,1772,Economy
270,1582,1031,Economy
271,1329,1047,Business
272,10,932,Economy
273,641,310,Economy
274,1258,1479,Economy
275,1114,1193,Economy
276,1330,441,Economy
277,1541,1537,Economy
278,1424,1846,Economy
279,1525,648,Economy
280,45,429,Economy
281,1746,922,Business
282,642,309,Economy
283,1823,1408,Economy
284,1925,358,Business
285,1871,702,Economy
286,401,457,Business
287,487,1026,Business
288,111,1892,Economy
289,811,1036,Economy
290,1706,934,Economy
291,151,54,Business
292,1403,578,Economy
293,1118,948,Economy
294,1266,1673,Economy
295,1822,369,Economy
296,1812,557,Economy
297,225,1202,Economy
298,1381,314,Economy
299,1180,1145,Economy
300,1391,1701,Economy
301,987,1089,Economy
302,1385,1481,Economy
303,91,1371,Economy
304,684,458,Economy
305,453,1263,Economy
306,1564,1176,Economy
307,1490,297,Economy
308,178,79,Business
309,384,1886,Economy
310,991,626,Economy
311,111,994,Economy
312,1378,1267,Economy
313,1598,1306,Economy
314,607,1546,Economy
315,1503,713,Business
316,488,512,Economy
317,1086,301,First
318,1233,1271,Economy
319,905,466,Economy
320,1397,559,Economy
321,1969,232,Economy
322,1519,1537,Economy
323,1840,1423,Economy
324,1411,583,Economy
325,1547,1624,Economy
326,1888,1480,Economy
327,1517,1672,Economy
328,775,1007,Economy
329,1200,83,First
330,1843,1471,Economy
331,1950,1335,First
332,975,47,First
333,1963,1875,Economy
334,118,969,Economy
335,941,913,Business
336,892,299,Economy
337,970,1513,Economy
338,71,58,Economy
339,1472,1651,Economy
340,771,1024,Economy
341,908,36,Economy
342,1434,815,Economy
343,981,788,Economy
344,870,686,Economy
345,1270,130,Economy
346,475,1172,Economy
347,1640,1729,Economy
348,1157,979,Economy
349,228,1194,Economy
350,1540,1594,Economy
351,710,1975,Economy
352,956,1114,Economy
353,1718,1359,Economy
354,1549,1054,Economy
355,558,937,Economy
356,143,1638,Economy
357,1313,1222,Economy
358,68,469,Economy
359,1167,1771,Economy
360,1363,782,Economy
361,1271,1745,Economy
362,45,1218,Business
363,769,1560,Economy
364,799,1054,Economy
365,1971,19,Economy
366,1017,1235,Economy
367,349,1855,Economy
368,685,1395,Economy
369,1367,1091,First
370,534,647,Economy
371,1399,1020,Business
372,894,1000,First
373,352,1707,Economy
374,1118,1316,Economy
375,1414,1244,Economy
376,1911,1750,Economy
377,1108,726,Economy
378,1971,979,Economy
379,1296,1771,Business
380,418,1850,Economy
381,456,921,Economy
382,581,543,Economy
383,748,1817,First
384,95,728,Economy
385,1742,1333,Economy
386,1489,1660,First
387,670,58,First
388,128,960,Economy
389,820,386,Economy
390,1815,1325,Business
391,1019,843,First
392,1495,1432,Economy
393,944,1479,Business
394,953,232,Economy
395,1430,1164,Business
396,252,1026,Economy
397,849,1289,Economy
398,1999,788,Economy
399,127,740,Business
400,223,54,Business
401,1545,101,Economy
402,692,1462,Economy
403,1473,147,First
404,1669,1833,Economy
405,1043,1930,First
406,1009,1648,Economy
407,867,965,Economy
408,1473,1362,Economy
409,480,1332,Economy
410,837,1679,Economy
411,1021,1734,Economy
412,1141,1791,Economy
413,1671,1916,Economy
414,959,557,Economy
415,1258,441,First
416,452,603,Economy
417,1542,242,Economy
418,630,1244,Business
419,297,920,Economy
420,533,1001,Economy
421,807,59,Economy
422,391,22,Economy
423,1081,1134,Economy
424,740,431,Business
425,589,1224,Economy
426,1180,830,Business
427,1029,1808,Business
428,1665,1265,Economy
429,967,1094,Economy
430,1058,1145,Economy
431,479,706,Economy
432,1093,52,Economy
433,564,1738,Economy
434,616,1383,Economy
435,5,699,Business
436,776,737,Economy
437,218,117,Economy
438,1573,1771,First
439,88,1841,Economy
440,1843,1921,Economy
441,821,1426,Economy
442,531,69,Economy
443,844,321,Economy
444,1893,1226,Economy
445,432,836,Economy
446,377,1218,Economy
447,246,1162,Economy
448,982,1806,Economy
449,289,1454,Economy
450,121,1013,Economy
451,843,665,Economy
452,1497,1129,Business
453,334,272,First
454,1976,376,Business
455,268,716,Business
456,725,776,Economy
457,201,1900,Economy
458,1226,1977,Economy
459,792,811,Business
460,758,1277,Economy
461,775,1684,Economy
462,18,617,Economy
463,480,648,Economy
464,338,1381,Economy
465,714,646,Economy
466,1899,1724,Economy
467,591,282,First
468,420,1446,Business
469,912,479,First
470,1125,1675,First
471,133,914,Business
472,948,1697,Economy
473,338,7,Economy
474,1536,599,Economy
475,1644,635,Economy
476,784,369,Economy
477,1470,998,Economy
478,883,1447,Economy
479,1500,1770,Economy
480,1624,1699,Business
481,1268,1437,Business
482,1483,271,Economy
483,150,1171,Economy
484,1306,1672,Economy
485,694,1409,Economy
486,358,1527,Economy
487,723,1216,Business
488,1562,1420,Economy
489,1091,1513,Economy
490,1884,324,Economy
491,1479,1462,Economy
492,338,829,Economy
493,481,689,Economy
494,745,358,Economy
495,478,555,Economy
496,1846,301,Economy
497,358,1748,Business
498,1766,756,First
499,1003,636,Business
500,1138,1992,Economy
501,1341,298,Economy
502,516,1544,Economy
503,1582,1480,Economy
504,1351,55,Economy
505,1893,1044,Economy
506,430,441,Economy
507,1429,706,Economy
508,411,1575,First
509,1087,606,Economy
510,880,1157,Economy
511,173,1711,Economy
512,1979,1717,Economy
513,1305,555,Economy
514,1244,2000,Economy
515,1048,898,Business
516,1565,183,First
517,1308,499,Economy
518,1364,1132,Economy
519,1952,1497,First
520,840,1594,Economy
521,1426,1043,Economy
522,892,318,Economy
523,557,952,Economy
524,586,1471,Economy
525,641,1037,Economy
526,1730,29,Economy
527,1310,534,Economy
528,601,738,Economy
529,1090,5,Business
530,1469,1724,Economy
531,255,1129,Economy
532,377,1910,First
533,386,361,Economy
534,212,1186,Economy
535,1556,720,Economy
536,1674,106,Economy
537,992,276,Economy
538,1700,295,Economy
539,1806,578,Economy
540,1378,156,Economy
541,1410,1280,Economy
542,1196,1322,Economy
543,196,940,First
544,470,1113,Economy
545,1870,1994,Economy
546,349,1390,Business
547,382,581,Economy
548,248,1390,Economy
549,1600,1505,Economy
550,1658,1784,Economy
551,1472,1197,Economy
552,489,740,Economy
553,1405,1580,Economy
554,662,592,Economy
555,819,297,Economy
556,695,1482,Business
557,724,951,Economy
558,388,574,Economy
559,1763,1154,Economy
560,215,1903,Business
561,39,1117,Economy
562,1618,1669,First
563,940,1900,Economy
564,329,1081,Economy
565,1603,1592,Business
566,690,1366,Economy
567,20,992,Economy
568,952,462,Economy
569,175,1116,Economy
570,913,1141,Economy
571,622,373,Economy
572,580,970,First
573,1615,1397,Economy
574,1797,533,Business
575,985,45,Economy
576,1509,1270,First
577,1805,1246,Business
578,1345,1335,Economy
579,1703,944,Economy
580,791,915,Economy
581,1324,1570,Business
582,1628,1832,Business
583,1171,1654,Economy
584,1807,609,Economy
585,1734,1127,Business
586,1944,973,Economy
587,203,718,Economy
588,867,359,Business
589,299,1607,First
590,559,682,Economy
591,1908,1942,Economy
592,1896,1306,Economy
593,751,1338,Economy
594,1768,966,Business
595,163,127,Economy
596,350,925,Economy
597,1692,46,Economy
598,241,1967,Economy
599,596,1001,Economy
600,1821,170,Economy
601,1032,1234,Economy
602,738,698,Economy
603,1432,192,Economy
604,1912,533,Economy
605,1262,687,Economy
606,1914,855,Economy
607,1696,286,Economy
608,61,379,Economy
609,262,833,Economy
610,1559,1337,Economy
611,1174,117,Economy
612,1125,225,Economy
613,462,256,Economy
614,1036,326,Economy
615,169,355,Economy
616,27,1862,Economy
617,1597,754,First
618,1170,1516,Business
619,1468,10,Economy
620,1625,428,Business
621,1877,1593,Economy
622,1882,870,Economy
623,1804,902,Economy
624,479,1766,Economy
625,1718,1635,Economy
626,1137,877,Economy
627,1069,1464,First
628,414,1781,Economy
629,1755,339,Business
630,1789,1979,Economy
631,1420,1929,Economy
632,163,548,Economy
633,987,808,Economy
634,896,1352,First
635,1536,1418,First
636,337,1068,Business
637,786,1431,First
638,1841,413,Economy
639,1400,1271,Business
640,1256,892,Economy
641,1663,1410,Economy
642,1736,1517,First
643,1242,619,First
644,1756,923,Economy
645,568,1104,First
646,646,882,Economy
647,54,1144,Economy
648,763,840,Economy
649,1738,1236,Economy
650,1250,245,Economy
651,905,512,Business
652,1087,1388,Business
653,825,1773,Economy
654,1415,670,Economy
655,1409,1938,Economy
656,1209,140,Economy
657,174,1287,Economy
658,667,930,Economy
659,919,1809,Economy
660,1796,1531,Economy
661,507,353,Business
662,1002,1519,Economy
663,1369,575,Economy
664,77,1819,Economy
665,1956,948,Business
666,1443,692,Economy
667,370,327,Economy
668,581,24,Economy
669,1099,763,Economy
670,1110,1336,Economy
671,1809,1208,Economy
672,1644,1091,Economy
673,1891,850,Economy
674,1461,1351,Economy
675,166,378,First
676,1757,1290,Economy
677,563,921,Economy
678,568,1438,Economy
679,1984,1749,Economy
680,1757,415,Economy
681,645,114,Business
682,1825,1600,Economy
683,252,1286,Economy
684,601,1252,First
685,335,1556,Economy
686,393,884,Economy
687,1166,1123,Economy
688,1921,1956,Economy
689,783,493,Economy
690,2,1246,Economy
691,1383,451,Economy
692,467,1885,Economy
693,1716,275,Business
694,1428,901,Economy
695,1861,1519,Economy
696,1641,764,First
697,69,943,First
698,276,120,Economy
699,49,58,Economy
700,1420,879,Economy
701,348,1914,Economy
702,367,1024,Economy
703,1366,225,Economy
704,1311,1847,Business
705,1586,26,Economy
706,1129,1310,Economy
707,919,1498,Economy
708,249,272,Business
709,668,575,Economy
710,315,351,Economy
711,558,1599,Economy
712,145,1521,Economy
713,1803,360,Economy
714,845,1446,Economy
715,862,372,Business
716,356,1741,Economy
717,1800,587,Economy
718,1671,398,Economy
719,1787,1950,Economy
720,1463,95,Economy
721,1383,1842,Economy
722,1477,1023,Economy
723,1420,1720,Economy
724,697,1504,Economy
725,625,1742,Economy
726,1961,1068,Economy
727,1222,1894,Economy
728,517,1855,Economy
729,449,272,Economy
730,447,1453,Economy
731,1605,1015,Economy
732,1374,999,Business
733,619,960,Economy
734,154,1993,Economy
735,1591,1109,Economy
736,123,741,Business
737,1789,1173,Economy
738,1675,1216,Economy
739,508,487,Economy
740,996,109,Economy
741,353,414,Economy
742,666,1472,Economy
743,1649,900,Business
744,1480,1823,Economy
745,25,1004,Business
746,1442,1434,Economy
747,110,969,Economy
748,1026,700,Economy
749,266,1821,Business
750,1698,96,Economy
751,1618,1168,Economy
752,1128,1763,Economy
753,526,557,Economy
754,856,978,First
755,348,354,Economy
756,431,325,Economy
757,52,1139,Economy
758,798,745,Economy
759,757,1175,Economy
760,1395,565,Economy
761,1211,208,Economy
762,1688,510,Economy
763,56,783,Economy
764,1774,752,Economy
765,1809,1966,Economy
766,1680,1914,Economy
767,1826,1948,Economy
768,398,1592,Economy
769,1794,1704,Economy
770,146,994,Economy
771,648,1789,Economy
772,224,426,Economy
773,794,1437,Economy
774,14,211,Economy
775,1653,1701,Economy
776,470,821,Economy
777,1713,1978,Economy
778,1568,6,Economy
779,835,282,Economy
780,578,739,Economy
781,1472,1157,Economy
782,1635,980,Business
783,1462,650,First
784,1577,1985,Economy
785,1715,1094,Economy
786,30,1379,Economy
787,1466,277,Economy
788,1032,1492,First
789,616,543,Economy
790,1588,1204,Business
791,475,1367,Economy
792,1469,1430,Economy
793,58,1337,Economy
794,613,1900,Economy
795,1843,203,Business
796,744,984,Economy
797,1545,498,Economy
798,1557,1703,Economy
799,1149,734,Economy
800,455,113,Economy
801,842,1841,First
802,849,1222,Economy
803,1428,1811,Business
804,1800,1617,Economy
805,343,1423,Business
806,44,1575,Economy
807,1350,1855,Economy
808,229,1239,Economy
809,1773,1210,Economy
810,873,1909,Economy
811,1246,113,First
812,587,1375,Economy
813,1379,1464,Economy
814,1623,159,First
815,348,1346,Economy
816,1519,1657,Economy
817,579,982,Business
818,1769,578,Economy
819,1272,1573,Economy
820,720,1994,Business
821,1363,1046,Economy
822,830,1672,First
823,724,863,Economy
824,1644,1965,First
825,1933,12,Economy
826,565,1422,Economy
827,73,928,Economy
828,696,1897,Economy
829,1747,425,Economy
830,481,754,Economy
831,432,1271,Economy
832,1954,94,Business
833,916,703,Economy
834,1904,1585,Economy
835,391,1852,First
836,1141,1950,Business
837,1313,1493,Economy
838,309,868,Economy
839,16,1788,Business
840,265,157,Economy
841,478,499,Economy
842,771,284,Economy
843,1762,1267,Business
844,1849,1632,Economy
845,1314,1047,Economy
846,1019,654,First
847,72,835,Economy
848,1893,652,Economy
849,1410,1038,Economy
850,1711,337,Economy
851,562,895,First
852,1516,1507,Economy
853,383,1800,First
854,572,974,Economy
855,279,293,Economy
856,1195,389,Economy
857,1104,1180,Economy
858,1219,1463,Economy
859,406,845,Economy
860,273,1356,First
861,1031,1167,Economy
862,695,108,Economy
863,1440,465,Economy
864,868,1581,Economy
865,1504,727,Economy
866,1580,739,Economy
867,1617,232,Economy
868,744,1371,First
869,973,1466,First
870,1777,536,Economy
871,1914,1609,First
872,1761,612,Economy
873,855,656,Business
874,1284,550,Economy
875,584,366,Economy
876,233,1894,Business
877,969,1601,Economy
878,1463,1406,First
879,1812,272,Economy
880,139,1137,Economy
881,667,1468,Economy
882,366,1998,Economy
883,319,968,Economy
884,57,1448,Economy
885,1959,1238,Economy
886,1733,673,Business
887,278,325,Economy
888,545,1459,Economy
889,1692,448,Economy
890,1611,1973,Economy
891,795,1419,Economy
892,1045,618,Economy
893,910,1002,Business
894,830,163,First
895,352,67,Economy
896,1247,1629,Business
897,1635,160,Business
898,1447,308,Economy
899,481,225,Economy
900,1872,456,Business
901,878,1380,Economy
902,1872,1608,Business
903,302,1173,Economy
904,1103,351,Economy
905,1064,569,First
906,348,1964,Economy
907,1842,1516,Business
908,1226,1037,Business
909,1697,1770,Economy
910,55,1552,Economy
911,1419,1246,Economy
912,1853,1549,First
913,1402,1364,Economy
914,703,1968,Economy
915,1999,714,Economy
916,645,150,Economy
917,509,320,Economy
918,48,506,Economy
919,779,388,Economy
920,981,1159,Business
921,960,733,Business
922,1037,1082,Economy
923,539,708,Economy
924,1589,173,Economy
925,696,449,Economy
926,1437,1456,Economy
927,973,102,Economy
928,1212,1150,First
929,523,1236,Economy
930,1508,1016,Economy
931,466,65,Economy
932,1347,135,Economy
933,561,1231,Business
934,1250,1249,Economy
935,391,1808,Economy
936,296,1517,Economy
937,1618,354,First
938,593,1910,Business
939,141,1019,Economy
940,300,207,Economy
941,415,223,Business
942,316,7,Business
943,979,1164,Economy
944,1238,1355,Economy
945,1901,517,Economy
946,995,322,Business
947,771,1402,Economy
948,69,792,Economy
949,1277,1048,Economy
950,616,1505,Economy
951,944,39,Business
952,124,799,Economy
953,244,268,Economy
954,79,1593,Economy
955,357,298,Economy
956,1719,464,Economy
957,1960,1324,Economy
958,1466,339,Economy
959,1176,1671,Economy
960,1394,21,Economy
961,1182,1316,Economy
962,299,7,Economy
963,1666,596,Economy
964,1652,1720,Economy
965,421,1388,First
966,776,1728,Economy
967,229,1630,Economy
968,713,287,Economy
969,1881,180,Economy
970,1966,1679,First
971,1831,1322,Economy
972,1675,1294,First
973,946,96,First
974,367,570,Economy
975,459,199,Economy
976,1639,419,Economy
977,1221,406,Economy
978,1256,28,Economy
979,1967,1206,First
980,1965,89,Economy
981,1792,75,Economy
982,32,363,Economy
983,1667,1618,Economy
984,1090,1444,Economy
985,1321,1929,Economy
986,1484,1016,Economy
987,1393,435,Business
988,929,234,Economy
989,1682,1704,Economy
990,1028,1607,Economy
991,1323,575,Economy
992,1083,144,Economy
993,186,1615,Economy
994,1609,278,First
995,513,3,Economy
996,830,855,Economy
997,894,189,Economy
998,692,403,Economy
999,611,1261,Economy
1000,1628,1091,Business
1001,470,1612,Economy
1002,646,1630,Economy
1003,473,481,Business
1004,1898,1548,Economy
1005,749,1715,Economy
1006,1773,35,First
1007,1620,1081,First
1008,687,197,Economy
1009,1124,1817,Business
1010,255,318,Economy
1011,1195,559,Business
1012,1917,821,Economy
1013,1194,1290,Economy
1014,1532,1063,Economy
1015,198,454,Economy
1016,1667,1897,Economy
1017,591,662,Economy
1018,1886,1086,Economy
1019,1856,576,Economy
1020,1745,109,Economy
1021,864,1944,Economy
1022,965,1672,Economy
1023,1459,1144,Economy
1024,80,154,Economy
1025,115,1717,Economy
1026,286,863,Economy
1027,1635,757,Economy
1028,854,1336,Economy
1029,1583,1337,First
1030,1633,1142,Economy
1031,1671,724,Business
1032,306,1412,Business
1033,1471,623,Economy
1034,638,790,Economy
1035,1027,830,Economy
1036,1597,64,Economy
1037,1883,493,Economy
1038,199,272,Economy
1039,619,1697,Economy
1040,53,827,First
1041,821,1858,Economy
1042,1943,1626,Economy
1043,1561,1915,Economy
1044,1209,637,First
1045,1029,413,Economy
1046,142,1301,Economy
1047,1692,164,Economy
1048,1691,1870,Business
1049,1695,1927,Economy
1050,336,1503,Economy
1051,54,1269,Economy
1052,685,1151,Economy
1053,355,591,Economy
1054,855,693,Economy
1055,867,1181,Economy
1056,720,1077,Economy
1057,412,916,Economy
1058,1559,1042,Economy
1059,1263,1054,Economy
1060,957,718,Economy
1061,531,284,Economy
1062,679,249,Economy
1063,336,1027,Economy
1064,1905,1670,Economy
1065,1438,1077,Economy
1066,995,135,Economy
1067,861,592,Economy
1068,503,1261,First
1069,753,1592,Economy
1070,1275,1859,Economy
1071,424,1595,Economy
1072,1196,18,Economy
1073,1348,655,Economy
1074,1939,1710,Economy
1075,1309,1272,Economy
1076,954,1570,First
1077,148,983,Economy
1078,448,213,Economy
1079,466,1929,Economy
1080,50,1087,First
1081,65,1466,Economy
1082,1800,351,Economy
1083,1607,925,Business
1084,1640,224,Economy
1085,1357,63,Economy
1086,1641,468,Economy
1087,1892,1340,First
1088,720,666,Economy
1089,431,682,Business
1090,395,889,Economy
1091,1920,1565,Economy
1092,1559,740,Economy
1093,334,245,Business
1094,1410,206,Economy
1095,6,1021,Economy
1096,866,721,Economy
1097,710,728,Economy
1098,1619,21,Economy
1099,804,772,Economy
1100,490,1635,Business
1101,298,957,Economy
1102,180,571,Economy
1103,1217,937,Economy
1104,929,1532,Economy
1105,1216,1309,Economy
1106,1706,1262,Economy
1107,231,274,First
1108,400,905,First
1109,660,14,Economy
1110,120,675,Business
1111,890,959,Economy
1112,1925,1355,Economy
1113,612,1573,Economy
1114,1342,1428,Economy
1115,1642,1607,Economy
1116,1564,634,Business
1117,1199,300,Economy
1118,370,790,Economy
1119,586,1058,Economy
1120,995,1979,Economy
1121,1449,645,Economy
1122,1668,1691,Economy
1123,1934,1160,Business
1124,1405,1979,Economy
1125,1290,1156,First
1126,1397,1275,Economy
1127,1459,980,Economy
1128,1048,974,Business
1129,1773,1699,Business
1130,306,523,Economy
1131,690,411,Economy
1132,109,81,Economy
1133,1285,1119,Economy
1134,1635,344,Economy
1135,1392,709,Economy
1136,1664,1154,Economy
1137,940,151,Economy
1138,1907,805,Economy
1139,1942,1525,Economy
1140,1098,1704,Economy
1141,153,464,Economy
1142,650,1208,Economy
1143,1112,906,Economy
1144,1894,1044,Economy
1145,1594,785,Economy
1146,442,513,Economy
1147,1675,1258,Economy
1148,1804,1966,Economy
1149,1270,1057,Economy
1150,1096,1646,Economy
1151,1968,478,Economy
1152,336,21,Economy
1153,1206,239,Economy
1154,537,1519,Economy
1155,491,368,Economy
1156,798,1471,Economy
1157,1972,351,Economy
1158,732,1161,Economy
1159,1904,975,Economy
1160,1845,926,Economy
1161,1467,1004,Economy
1162,963,1240,First
1163,1687,1220,Economy
1164,873,1323,Economy
1165,663,1711,Economy
1166,973,780,Economy
1167,1592,998,Economy
1168,1450,16,Economy
1169,1738,1042,Economy
1170,1517,1634,Economy
1171,818,1493,Economy
1172,255,108,Business
1173,986,612,Economy
1174,1810,513,Economy
1175,150,1902,Economy
1176,688,1507,Economy
1177,1985,610,Economy
1178,1291,571,Economy
1179,675,885,Economy
1180,246,319,Economy
1181,1109,701,Economy
1182,1400,1751,Economy
1183,1664,1698,Business
1184,862,382,Economy
1185,388,1309,Economy
1186,210,1443,Business
1187,1791,1768,Economy
1188,535,1942,First
1189,1230,590,Economy
1190,1499,930,Economy
1191,821,1759,Economy
1192,1333,761,Economy
1193,1920,1681,Economy
1194,55,838,Economy
1195,830,1106,First
1196,753,1395,Economy
1197,1918,1765,Economy
1198,188,1211,Economy
1199,1001,1876,Economy
1200,1950,1791,Business
1201,123,1507,Economy
1202,1680,1421,Economy
1203,1547,112,Economy
1204,1443,1590,Economy
1205,307,1452,Economy
1206,1400,656,Economy
1207,1702,1749,Economy
1208,867,337,Economy
1209,1486,74,First
1210,1942,673,Economy
1211,1740,268,Economy
1212,432,1838,First
1213,1715,178,Economy
1214,849,211,Economy
1215,1079,765,First
1216,1553,1481,Business
1217,1062,118,Economy
1218,1302,827,Economy
1219,1680,1473,Economy
1220,1974,669,Economy
1221,1179,1331,First
1222,1874,832,Economy
1223,1585,1432,First
1224,786,891,Economy
1225,769,703,First
1226,1367,1580,Economy
1227,142,1066,First
1228,456,708,Economy
1229,1578,1603,Economy
1230,509,641,Economy
1231,362,1279,Business
1232,1625,882,Economy
1233,506,111,Economy
1234,1206,475,Economy
1235,1156,1434,Economy
1236,319,1796,Economy
1237,1603,537,Business
1238,683,1935,Economy
1239,425,110,Economy
1240,1475,1477,Economy
1241,369,107,First
1242,1807,303,Economy
1243,1964,1840,Economy
1244,639,1565,Economy
1245,1084,1932,Economy
1246,866,1016,Business
1247,1395,674,Economy
1248,961,690,Economy
1249,1701,1569,Economy
1250,21,1061,Economy
1251,1030,494,Economy
1252,324,1562,Economy
1253,1699,1621,Business
1254,287,1990,Economy
1255,760,1379,Economy
1256,754,1734,Economy
1257,187,1231,Economy
1258,554,1070,Economy
1259,81,1613,Economy
1260,1765,591,Economy
1261,1658,74,Economy
1262,1797,921,Economy
1263,1338,289,Economy
1264,1296,1367,Economy
1265,956,1350,Economy
1266,369,1827,Economy
1267,1939,1136,Economy
1268,1428,354,Economy
1269,1424,1955,Economy
1270,1532,874,Economy
1271,96,580,Economy
1272,1807,513,Economy
1273,243,313,Economy
