ID,Departure Airport ID,Arrival Airport ID,Airline ID,Aircraft ID,Delayed
357,8952,2753,1060,36,0
358,2028,1483,1176,200,0
359,2688,9873,935,244,0
360,1746,8831,454,185,1
361,3171,8660,493,52,0
362,4027,2653,792,154,0
363,9252,9139,1170,210,0
364,3791,11881,687,51,0
365,292,6316,1237,225,1
366,1501,6039,1158,168,0
367,3450,10751,931,127,0
368,3635,12028,40,21,0
369,2207,2895,971,224,0
370,1899,5500,399,2,0
371,7544,5602,210,120,0
372,6094,4270,549,22,1
373,640,2955,371,76,0
374,4151,7213,836,88,0
375,499,11207,37,137,1
376,7326,7855,78,91,1
377,15,11809,839,70,0
378,11092,228,96,74,0
379,1244,80,1021,158,0
380,9886,37,406,69,0
381,6093,13402,351,242,0
382,1933,1135,348,15,0
383,3376,763,929,224,0
384,2389,11958,1041,36,1
385,119,6911,613,52,1
386,1907,3679,348,202,0
387,1101,3173,355,1,1
388,896,2998,248,169,0
389,8134,3475,868,11,0
390,6053,8308,231,123,1
391,6399,3221,581,233,1
392,1844,4202,334,238,0
393,7683,2839,490,233,0
394,2752,2931,845,138,0
395,2517,7202,770,60,1
396,1703,3423,299,141,0
397,6038,13339,929,214,0
398,7726,3044,582,125,0
399,4238,1562,655,64,0
400,8296,5926,524,151,1
401,4335,13233,525,124,0
402,4238,7522,1223,221,1
403,8825,1577,541,96,1
404,1805,2344,179,165,1
405,3513,6832,797,69,1
406,5711,2057,169,2,1
407,1910,6154,502,112,0
408,8114,2658,918,74,0
409,1976,754,1027,95,1
410,6085,4318,979,27,1
411,2885,11853,612,209,0
412,2661,5637,1026,94,0
413,8644,7363,150,200,1
414,5599,1685,799,101,0
415,2878,11293,769,193,0
416,6091,6286,1035,191,1
417,756,3249,361,133,1
418,11797,3304,1054,74,0
419,3708,13385,650,86,0
420,11230,1145,738,50,1
421,1116,9759,1156,163,1
422,2604,8179,620,185,1
423,8752,91,365,37,0
424,4256,2933,328,237,0
425,6010,623,433,116,0
426,1815,8821,742,174,1
427,286,7204,971,30,0
428,11097,3721,511,233,0
429,5879,479,1240,33,0
430,6346,1961,947,160,0
431,3485,6304,123,35,0
432,5478,612,433,219,0
433,1980,6386,580,152,1
434,7072,3687,941,121,0
435,1106,8394,222,84,0
436,1830,435,821,155,0
437,7351,9227,789,64,0
438,523,1339,162,182,0
439,8104,1002,517,12,1
440,1314,2926,1010,147,1
441,5989,5418,125,65,1
442,2034,8759,542,172,0
443,13474,8277,90,147,0
444,3368,1389,941,128,1
445,693,9481,103,237,0
446,9772,7054,67,42,0
447,689,438,617,166,0
448,11082,2998,1053,115,0
449,13227,8718,79,94,1
450,424,8030,404,175,0
451,2377,4184,364,95,0
452,7711,8407,423,188,0
453,2804,4376,298,201,0
454,3846,11937,321,187,0
455,3360,1548,799,160,1
456,7026,8932,1167,87,0
457,3874,631,161,79,0
458,3919,3467,210,8,1
459,7280,3302,1004,210,0
460,8712,5406,628,202,0
461,616,11869,1246,169,1
462,5452,7903,241,81,0
463,11895,200,486,179,1
464,7096,1004,250,84,0
465,7341,132,1077,114,0
466,11832,1420,755,144,0
467,9076,7456,960,137,0
468,39,3588,737,142,0
469,2237,6808,996,142,1
470,8710,2189,576,190,1
471,887,3044,340,235,0
472,6043,605,1140,14,1
473,5755,13821,310,58,0
474,7723,6098,855,221,0
475,491,3277,955,232,0
476,1463,3680,917,69,1
477,12919,3224,462,129,0
478,2549,424,51,96,1
479,4365,3699,1056,74,0
480,2049,14089,783,101,1
481,3117,8608,65,84,1
482,3294,2535,675,86,1
483,3557,4390,1247,202,1
484,5490,11872,346,172,1
485,6391,12950,515,147,0
486,1919,1446,130,65,0
487,7131,2465,378,9,0
488,11896,3178,1227,1,0
489,13271,1355,397,10,0
490,11583,5440,15,173,0
491,4381,18,52,237,1
492,5742,11828,510,82,1
493,2850,13215,380,141,0
494,2359,4106,1009,166,0
495,10753,1299,482,55,0
496,4116,4175,1093,31,1
497,2776,4104,1146,87,1
498,689,4195,1189,37,0
499,11355,2141,705,229,1
500,6157,13018,389,63,0
